postcode,Name,Lat,Long
50400,Kuala Lumpur,3.14896,101.69705
53100,GombakKuala Lumpur,3.268023.19615,101.67636101.71212
17050,Pasir Mas,5.96102,102.14837
50490,Kuala Lumpur,3.14657,101.66732
81100,Johor Bahru,1.54952,103.70802
86000,Kluang,1.92262,103.40376
47620,Subang Jaya,3.03372,101.5873
5050,Alor Setar,6.01406,100.38319
50200,Kuala Lumpur,3.14473,101.70068
40400,Shah Alam,3.04573,101.55727
50450,Kuala Lumpur,3.15121,101.70914
89208,Tuaran,6.16856,116.23483
71450,Seremban,2.70095,101.96167
87012,Labuan,5.29132,115.24591
41000,Klang,3.03487,101.51195
47400,Petaling Jaya,3.12957,101.62743
89857,Sipitang,5.02016,115.58108
26800,Kuala Rompin,2.94963,103.40893
89100,Kota Marudu,6.54071,116.82238
89007,Keningau,5.26497,116.32826
17700,Ayer Lanas,5.81422,101.92533
89808,Beaufort,5.34749,115.72731
27600,Raub,3.75769,101.9827
68000,Ampang,3.15492,101.74124
15100,Kota Bharu,6.07058,102.24581
6100,Kodiang,6.20449,100.37456
75450,Air KerohMelakaAyer Keroh,2.305332.209992.28718,102.33459102.26368102.27586
20050,Kuala Terengganu,5.2886,103.10396
75250,Melaka,2.22699,102.23956
81550,Gelang Patah,1.46193,103.58572
22020,Jerteh,5.67945,102.5851
32800,Parit,4.55035,100.90635
28740,Bentong,3.23081,102.11507
89200,Tuaran,6.132,116.20691
2600,Arau,6.42456,100.27356
11700,Gelugor,5.36529,100.30671
47100,PuchongSungai Buloh,3.075753.24448,101.61977101.56001
71600,Kuala Klawang,2.9555,102.07187
47000,Sungai Buloh,3.1618,101.59804
14000,Bukit Mertajam,5.33437,100.46734
47301,Petaling Jaya,3.10415,101.61284
50480,Kuala Lumpur,3.163,101.67534
90720,Sandakan,5.84561,118.05706
17200,Rantau Panjang,5.96317,102.00725
81800,Ulu Tiram,1.67279,103.63247
56100,Kuala LumpurCherasCheras,3.119713.110523.11052,101.7275101.73893101.73893
89058,Kudat,6.82855,116.72412
18300,Gua Musang,5.03561,102.02471
71900,Labu,2.73391,101.89273
8600,Sungai Petani,5.78032,100.52012
85000,Segamat,2.3134,102.97857
89057,Kudat,6.82855,116.72412
90000,Sandakan,5.84799,117.95913
11010,Balik Pulau,5.3581,100.27249
31450,Ipoh,4.59038,101.08068
50300,Kuala Lumpur,3.18408,101.69107
14200,Simpang AmpatSungai Jawi,5.322635.21563,100.439100.50447
45500,Tanjong Karang,3.31603,101.32015
28300,Triang,3.3177,102.47983
42700,Banting,2.90918,101.52789
86200,Simpang Rengam,1.88097,103.39569
31650,Ipoh,4.57564,101.07878
88300,Kota Kinabalu,5.93424,116.08024
91207,Kunak,4.75631,118.08949
95000,Sri Aman,1.31768,111.38942
21000,Kuala Terengganu,5.30178,103.12592
31400,Ipoh,4.61137,101.10426
46050,Petaling Jaya,3.095,101.62323
26600,Pekan,3.53735,103.28012
15300,Kota Bharu,6.11593,102.24518
22000,Jerteh,5.6111,102.57287
34200,Parit Buntar,4.90702,100.60293
89308,Ranau,5.93705,116.66948
87000,Labuan,5.29597,115.2429
90200,Kota Kinabatangan,5.24381,117.48405
89507,Penampang,5.87936,116.10398
47300,Petaling Jaya,3.10972,101.61711
81750,masaiMasai,1.564121.55584,103.7838103.76163
10300,Pulau Pinang,5.41109,100.3334
25200,Kuantan,3.76957,103.22244
16400,Melor,5.91998,102.27416
48000,Rawang,3.25491,101.5705
41400,Klang,3.05568,101.46115
28000,Temerloh,3.48402,102.42657
2000,Kuala Perlis,6.2683,100.20876
89747,Kuala Penyu,5.49142,115.54905
81700,Pasir Gudang,1.50024,103.82734
89728,Membakut,5.52429,115.68894
88000,Kota Kinabalu,5.86259,115.9946
17500,Tanah Merah,5.76871,102.12005
81300,Johor Bahru,1.54271,103.64868
27000,JerantutJerantut,3.400433.40043,102.08983102.08983
2500,Kangar,6.41126,100.23708
35500,Bidor,4.17865,101.22655
93300,Kuching,1.59922,110.44359
86800,Mersing,2.30426,103.75988
43100,Hulu Langat,3.07186,101.8347
23000,Dungun,4.81682,103.30359
31100,Sungai Siput,4.74212,101.0601
93450,Kuching,1.54844,110.36755
47810,Petaling Jaya,3.14404,101.58753
1000,Kangar,6.43123,100.20558
55200,Kuala Lumpur,3.13902,101.70597
96000,Sibu,2.20858,111.60005
43900,Sepang,2.97649,101.70671
13700,Perai,5.38339,100.39303
10150,Pulau Pinang,5.40673,100.32586
91000,Tawau,4.29012,117.89943
89108,Kota Marudu,6.48525,116.73285
80000,Johor Bahru,1.50345,103.74053
82200,Benut,1.68641,103.27128
55100,PandanKuala Lumpur,3.133063.13663,101.75033101.71719
75460,Melaka,2.20996,102.29064
33300,Gerik,5.28062,101.10068
81000,Johor BahruKulai,1.463431.72595,103.75472103.50107
54000,Kuala Lumpur,3.16494,101.72296
41150,Klang,3.04894,101.48774
96850,Song,1.73504,112.533
82000,Pontian,1.5666,103.38727
53000,Kuala Lumpur,3.17884,101.70447
43300,Seri Kembangan,3.0383,101.7094
89600,Papar,5.5174,115.90355
51200,Kuala Lumpur,3.1876,101.67201
47150,Puchong,3.10126,101.56926
14310,Nibong Tebal,5.21361,100.44805
16200,Tumpat,6.11735,102.16847
95600,Spaoh,1.65327,111.59829
71000,Port Dickson,2.59319,101.84129
84800,Bukit Gambir,2.14369,102.85367
2400,Kangar,6.4547,100.21445
30450,Ipoh,4.61615,101.08597
43000,Kajang,3.00941,101.77548
81200,Johor Bahru,1.5249,103.68742
17000,Pasir Mas,6.01294,102.14585
42000,Pelabuhan Klang,3.01862,101.42863
31600,Gopeng,4.51934,101.11527
96600,Julau,1.78299,111.96987
68100,Batu CavesBatu Caves,3.225053.22505,101.68025101.68025
83000,Batu Pahat,1.85776,103.03568
35600,Sungkai,4.11198,101.25294
93050,Kuching,1.58315,110.22511
5200,Alor Setar,6.02756,100.39892
81900,Kota Tinggi,1.74267,103.77881
89909,Tenom,4.98722,115.92408
10400,Pulau Pinang,5.41723,100.32332
51000,Kuala Lumpur,3.19114,101.69317
34850,Changkat Jering,4.70671,100.832
22200,Kampung Raja,5.73321,102.61301
93150,Kuching,1.55852,110.3877
89257,Tamparuli,6.11704,116.26751
2100,Padang Besar,6.53414,100.30997
45000,Kuala Selangor,3.24567,101.36783
27620,Raub,3.79836,102.11818
43500,Semenyih,2.99822,101.80171
82100,Ayer Baloi,1.69266,103.25239
71700,Mantin,2.80778,101.9088
23100,Paka,4.73145,103.35801
71500,Tanjong Ipoh,2.72995,102.15256
25000,Kuantan,3.80986,103.28932
59100,Kuala Lumpur,3.13166,101.67074
9800,Serdang,5.47652,100.59376
28050,Kuala Krau,3.62374,102.45601
26400,Bandar Pusat JengkaBandar Pusat Jengka,3.694183.6739,102.53939102.5212
89157,Kota Belud,6.36483,116.44763
84000,MuarTangkak,2.00511.97676,102.7335102.91247
16450,Ketereh,5.91792,102.22739
70300,Seremban,2.73129,101.93073
88200,Kota Kinabalu,5.92129,116.07919
75150,Melaka,2.22568,102.25627
52200,Kuala Lumpur,3.15532,101.6668
11950,Bayan Lepas,5.32711,100.28508
9400,Padang Serai,5.53309,100.55338
5100,Alor Setar,6.12716,100.36985
8000,Sungai Petani,5.66388,100.49024
26070,Kuantan,3.75794,103.17508
36200,Selekoh,3.99552,100.76795
80200,Johor Bahru,1.49772,103.71626
85400,Chaah,2.04905,103.14429
40000,Shah Alam,3.07974,101.51857
76300,Sungai Udang,2.28667,102.14065
10250,Pulau Pinang,5.42647,100.32052
21600,Marang,5.2424,103.12597
5350,Alor StarAlor Setar,6.119366.06418,100.36769100.39474
53300,SetapakKuala Lumpur,3.187593.16981,101.71021101.70597
48300,Rawang,3.30829,101.5123
80350,Johor Bahru,1.53876,103.70122
6000,Jitra,6.13161,100.43515
72120,Bandar Seri Jempol,2.82994,102.25313
93250,Kuching,1.56204,110.31523
58200,Kuala Lumpur,3.09335,101.67944
88400,Kota Kinabalu,5.96147,115.98627
97000,Bintulu,2.62615,112.13667
72200,Batu Kikir,2.83522,102.20864
31900,KamparMambang Di Awan,4.355074.07768,101.12523101.2424
